#name;УРФУ;Федеральное государственное автономное образовательное учреждение высшего образования «Национальный исследовательский университет ИТМО»;;;
1;03.05.01;Астрономия;FRIM;;
2;06.03.01;Биология;BRMC;;
3;21.03.03;Геодезия и дистанционное зондирование;MRGIF;;
4;05.03.04;Гидрометеорология;GRBIM;;
5;01.03.01;Математика;MRIF;;
6;02.03.01;Математика и компьютерные науки;MRIF;;
7;10.05.01;Математические методы защиты информации;MRIF;;
8;02.03.03;Математическое обеспечение и администрирование информационных систем;MRIF;;
9;30.05.02;Медицинская биофизика;FRBIMC;;
10;30.05.01;Медицинская биохимия;CRBM;;
11;27.03.01;Метрология информационных и измерительных систем;MRIF;;
12;01.03.03;Механика и математическое моделирование;MRIF;;
13;01.03.04;Прикладная математика;MRIF;;
14;02.03.02;Разработка программных продуктов;MRIF;;
15;27.03.05;Управление исследованиями и разработками;MRIF;;
16;03.03.02;Физика;FRIM;;
17;03.05.02;Фундаментальная и прикладная физика;FRIM;;
18;04.05.01;Фундаментальная и прикладная химия;CRBIM;;
19;04.03.02;Химическое материаловедение;MRIFC;;
20;04.03.01;Химия;CRBIM;;
21;30.05.03;Цифровая медицина и биоинформатика;MRBI;;
22;05.03.06;Экология;BRGMC;;
23;15.03.04;Автоматизация технологических процессов и производств;MRIFC;;
24;09.03.02;Информационные системы и технологии;MRIF;;
25;15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;MRIFC;;
26;12.03.05;Лазерные, аддитивные и упрочняющие технологии в машиностроении;MRIFC;;
27;15.03.01;Машиностроение;MRIFC;;
28;22.03.02;Металлургия;MRIFC;;
29;15.03.06;Мехатроника и робототехника;MRIFC;;
30;12.03.02;Оптические технологии и материалы;MRIFC;;
31;23.03.02;Проектирование автомобилей и подъемно-транспортных машин;MRIFC;;
32;15.05.01;Проектирование технологических машин и комплексов;MRIFC;;
33;08.03.01;Производство и применение строительных материалов, изделий и конструкций;MRIF;;
34;27.03.01;Стандартизация и метрология;MRIF;;
35;23.03.03;Техническая эксплуатация автомобилей и подъемно-транспортных машин;MRIFC;;
36;15.03.02;Технологические машины и оборудование;MRIFC;;
37;18.03.01;Технология высокотемпературных неметаллических конструкционных и функциональных изделий и наноматериалов;MRIFC;;
38;29.03.04;Технология изготовления ювелирных изделий;MR;;
39;23.05.02;Транспортные средства специального назначения;MRIFC;;
40;22.03.01;Цифровая инженерия перспективных материалов;MRIFC;;
41;27.05.01;Цифровизация систем стандартизации технологических процессов и производств машиностроения;MRIFC;;
42;09.03.01;Алгоритмы искусственного интеллекта;MRIF;;
43;10.03.01;Безопасность компьютерных систем;MRIF;;
44;11.03.02;Инфокоммуникационные технологии и системы связи;MRIF;;
45;09.03.01;Информатика и вычислительная техника;MRIF;;
46;10.05.02;Информационная безопасность телекоммуникационных систем;MRIF;;
47;10.05.04;Информационно-аналитические системы безопасности;MRIF;;
48;11.03.03;Конструирование и технология электронных средств;MRIF;;
49;09.03.03 ;Прикладная информатика;MRIF;;
50;09.03.03;Прикладной искусственный интеллект;MRIF;;
51;09.03.04;Программная инженерия;MRIF;;
52;11.03.01;Радиотехника;MRIF;;
53;11.05.01;Радиоэлектронные системы и комплексы;MRIFC;;
54;29.03.03;Технология полиграфического и упаковочного производства;MRIFC;;
55;27.03.04;Управление в технических системах;MRIF;;
56;07.03.01;Архитектура;MR;;
57;08.03.01;Строительство зданий, сооружений и развитие территорий;MRIF;;
58;08.05.01;Строительство уникальных зданий и сооружений;MRIF;;
59;43.03.03;Гостиничное дело;ORLH;;
60;39.03.03;Организация работы с молодежью;HRLKO;;
61;43.03.01;Сервис в индустрии спорта и рекреации;MRGLIHO;;
62;49.03.04;Спортивная подготовка в игровых видах спорта;BR;;
63;49.03.01;Физическая культура;BR;;
64;49.03.02;Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура);BR;;
65;20.03.01;Техносферная безопасность;MRIFC;;
66;38.03.05;Бизнес-информатика;MRGLIHO;;
67;38.03.04;Государственное и муниципальное управление;ORGLIHM;;
68;38.03.06;Маркетинг и логистика в коммерции;MRGLIHO;;
69;38.03.02;Международный и корпоративный менеджмент;MRGLIHO;;
70;38.03.02;Менеджмент в энергетике и высокотехнологичных отраслях;MRGLIHO;;
71;38.03.01;Мировая экономика и международный бизнес;MRGLIHO;;
72;40.05.01;Правовое обеспечение национальной безопасности;ORLIH;;
73;40.03.01;Предпринимательское право;ORLIH;;
74;38.03.01;Прикладная экономика и финансы;MRGLIHO;;
75;38.03.02;Промышленный менеджмент и инвестиционно-строительный бизнес;MRGLIHO;;
76;41.03.06;Публичная политика и управление;ORGLH;;
77;42.03.01;Реклама и связи с общественностью;ORLIH;;
78;39.03.01;Социология управления и организаций;ORLIHM;;
79;38.05.02;Таможенное дело;ORGLI;;
80;38.05.01;Финансово-экономическая безопасность;MRGLIHO;;
81;38.05.01;Экономико-правовое обеспечение экономической безопасности;MRGLIHO;;
82;40.05.03;Экономические экспертизы;ORMLIH;;
83;40.03.01;Юриспруденция;ORLIH;;
84;17.05.01;Боеприпасы и взрыватели;MRIF;;
85;09.03.02;Информационные системы и технологии;MRIF;;
86;15.03.05;Конструкторско-технологическое обеспечение машиностроительных производств;MRIFC;;
87;22.03.02;Металлургия;MRIFC;;
88;09.03.03;Прикладная информатика;MRIF;;
89;08.03.01;Строительство;MRIF;;
90;13.03.01;Теплоэнергетика и теплотехника;MRIF;;
91;15.03.02;Технологические машины и оборудование;MRIFC;;
92;23.05.02;Транспортные средства специального назначения;MIRFC;;
93;18.03.01;Химическая технология;MRIFC;;
94;38.03.01;Экономика;MRGLIHO;;
95;13.03.02;Электроэнергетика и электротехника;MRIF;;
96;27.03.03;Системный анализ и управление;MRIF;;
97;13.03.02;Системный инжиниринг и цифровое проектирование;MRIF;;
98;13.03.03;Системный инжиниринг и цифровое проектирование;MRIF;;
99;15.03.01;Системный инжиниринг и цифровое проектирование;MRIFC;;
100;15.03.04;Системный инжиниринг и цифровое проектирование;MRIFC;;
101;23.03.02;Системный инжиниринг и цифровое проектирование;MRIFC;;
102;27.03.03;Системный инжиниринг и цифровое проектирование;MRIF;;
103;46.03.03;Археология и этнология;HRGLO;;
104;58.03.01;Востоковедение и африканистика;HRGLO;;
105;54.03.01;Дизайн;RLHO;;
106;42.03.02;Журналистика;LR;;
107;45.03.04;Интеллектуальные системы в гуманитарной сфере;MRLI;;
108;46.03.02;Информационное и документационное обеспечение управления;HRLO;;
109;46.03.01;История;HRLO;;
110;50.03.03;История искусств;RLOK;;
111;42.03.04;Кино и цифровой видеоконтент;LR;;
112;58.03.01;Китайский язык и китаистика;HRGLO;;
113;37.05.01;Клиническая психология;BRMO;;
114;42.03.01;Коммуникативные технологии в рекламе и связях с общественностью;ORLIH;;
115;51.03.01;Культурология;ORLH;;
116;45.03.02;Лингвистика в сфере деловых и профессиональных коммуникаций и информационных технологий;LRHKO;;
117;45.05.01;Лингвистическое обеспечение межгосударственных отношений;LRHO;;
118;42.03.05;Медиакоммуникации и мультимедийные технологии;RHO;;
119;40.03.01;Международное право;ORLIH;;
120;41.03.05;Международные отношения и мировая политика;HRGLO;;
121;44.03.01;Методика преподавания иностранных языков;ORLHK;;
122;44.03.01;Образовательные технологии и проектирование: история и филология;ORLHK;;
123;45.03.02;Перевод в цифровой среде;LRHKO;;
124;45.03.02;Перевод и межкультурная коммуникация;LRHKO;;
125;42.03.03;Печатные, электронные и интернет-издания;ORLIHK;;
126;47.03.02;Прикладная этика в бизнесе и промышленности;ORLH;;
127;37.03.01;Психология;BRMO;;
128;37.05.02;Психология служебной деятельности;BRMO;;
129;47.03.03;Религиоведение;HRGLKO;;
130;40.05.03;Речеведческая экспертиза;ORLIHM;;
131;44.03.01;Русский язык как иностранный: теория и методика обучения;ORLHK;;
132;43.03.01;Сервис;MRGLIHO;;
133;45.03.01;Современные иностранные языки и литература;RLHO;;
134;39.03.02;Социальная политика и социальное развитие;HRLKO;;
135;51.03.03;Социально-культурная деятельность;KRLHO;;
136;39.03.01;Социологические исследования в управлении цифровым обществом;ORLIHM;;
137;41.03.01;Страны и регионы мира: политика, экономика и культура;HRGLO;;
138;42.03.04;Телевидение и новые медиа;LR;;
139;41.03.04;Технологии управления политическими процессами;HRGLO;;
140;38.03.03;Управление персоналом;MRGLIHO;;
141;43.03.02;Управление процессами на предприятиях туризма и гостеприимства;HRGLO;;
142;45.03.01;Филология;RLHO;;
143;47.03.01;Философия;ORLH;;
144;45.03.03;Фундаментальная и прикладная лингвистика;LRIKMO;;
145;13.03.03;Газовые, паровые турбины и двигатели внутреннего сгорания;MRIF;;
146;13.03.02;Газотурбинное и электротехническое оборудование компрессорных станций;MRIF;;
147;13.03.03;Газотурбинное и электротехническое оборудование компрессорных станций;MRIF;;
148;14.05.02;Проектирование и эксплуатация атомных станций;MRIF;;
149;13.03.01;Теплоэнергетика и теплотехника;MRIF;;
150;13.03.02;Электроэнергетика и электротехника;MRIF;;
151;12.03.04;Биотехнические системы и технологии;MRBIF;;
152;27.03.05;Инноватика и интеллектуальная собственность;MRIF;;
153;09.03.02;Информационные системы в научно-технических и социально-экономических технологиях;MRIF;;
154;28.03.02;Наноинженерия;MRIF;;
155;12.03.01;Приборостроение;MRIF;;
156;03.03.01;Прикладные математика и физика;MRIF;;
157;27.03.02;Управление качеством;MRIF;;
158;18.03.01;Химическая технология материалов новой техники;MRIFC;;
159;18.05.02;Химическая технология материалов современной энергетики;MRIFC;;
160;14.05.04;Электроника и автоматика физических установок;MRIF;;
161;11.03.04;Электроника и наноэлектроника;MRIF;;
162;14.05.01;Ядерные реакторы и материалы;MRIF;;
163;14.03.02;Ядерные физика и технологии;MRIF;;
164;19.03.01;Биотехнология;MRBFC;;
165;33.05.01;Фармация;CRBMF;;
166;18.03.01;Химическая технология неорганических, органических веществ, природных энергоносителей и лекарственных препаратов;MRIFC;;
167;18.03.02;Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии;MRFC;;
#lgots;9;;;;
0;Всероссийская олимпиада школьников по информатике;информатика;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
1;Всероссийская олимпиада школьников по математике;математика;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
2;Всероссийская олимпиада школьников по технологии;техника, технология и техническое творчество;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
3;Всероссийская олимпиада школьников по технологии;культура дома, дизайн и технология;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
4;Всероссийская олимпиада школьников по технологии;робототехника;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
5;Всероссийская олимпиада школьников по технологии;информационная безопасность;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
6;Всероссийская олимпиада школьников по физике;физика;P0;+01.03.01 +01.03.03 +01.03.04 +02.03.01 +02.03.03 +03.03.01 +03.03.02 +08.03.01 +08.05.01 +09.03.01 +09.03.02 +09.03.03 +09.03.04 +10.03.01 +10.05.01 +10.05.02 +10.05.04 +11.03.01 +11.03.02 +11.03.03 +11.03.04 +12.03.01 +13.03.01 +13.03.02 +13.03.03 +14.03.02 +14.05.01 +14.05.02 +14.05.04 +17.05.01 +27.03.01 +27.03.02 +27.03.03 +27.03.04 +27.03.05 +27.05.01 +28.03.02;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;P0;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
